Filename	AuditedName	Taxon Order	English Name	French Name	Latin Name	Order	Family
Australasian_Swamphen_8154.jpg	Australasian Swamphen 	5525	Australasian Swamphen	Talève australe	Porphyrio melanotus	Gruiformes	Rallidae (Rails, Gallinules, and Coots)
Australian_Brushturkey_7950.jpg	Australian Brushturkey 	795	Australian Brushturkey	Talégalle de Latham	Alectura lathami	Galliformes	Megapodiidae (Megapodes)
Australian_Crake_4885MF.jpg	Australian Crake 	5457	Australian Crake	Marouette d'Australie	Porzana fluminea	Gruiformes	Rallidae (Rails, Gallinules, and Coots)
Australian_Ibis_2344.jpg	Australian Ibis 	7498	Australian Ibis	Ibis à cou noir	Threskiornis molucca	Pelecaniformes	Threskiornithidae (Ibises and Spoonbills)
Australian_King-Parrot_2507MF.jpg	Australian King-Parrot 	12265	Australian King-Parrot	Perruche royale	Alisterus scapularis	Psittaciformes	Psittaculidae (Old World Parrots)
Australian_King-Parrot.jpg	Australian King-Parrot 	12265	Australian King-Parrot	Perruche royale	Alisterus scapularis	Psittaciformes	Psittaculidae (Old World Parrots)
Australian_Magpie_0144.jpg	Australian Magpie 	19793	Australian Magpie	Cassican flûteur	Gymnorhina tibicen	Passeriformes	Artamidae (Woodswallows, Bellmagpies, and Allies)
Australian_magpie_1505.jpg	Australian Magpie 	19793	Australian Magpie	Cassican flûteur	Gymnorhina tibicen	Passeriformes	Artamidae (Woodswallows, Bellmagpies, and Allies)
Australian_Pelican_3562MF.jpg	Australian Pelican 	7801	Australian Pelican	Pélican à lunettes	Pelecanus conspicillatus	Pelecaniformes	Pelecanidae (Pelicans)
Australian_Pelican_8249.jpg	Australian Pelican 	7801	Australian Pelican	Pélican à lunettes	Pelecanus conspicillatus	Pelecaniformes	Pelecanidae (Pelicans)
Australian_Pipit_0158.jpg	Australian Pipit 	31738	Australian Pipit	Pipit d'Australie	Anthus australis	Passeriformes	Motacillidae (Wagtails and Pipits)
Australian_Pipit_4436MF.jpg	Australian Pipit 	31738	Australian Pipit	Pipit d'Australie	Anthus australis	Passeriformes	Motacillidae (Wagtails and Pipits)
Australian_Reed_Warbler_0750.jpg	Australian Reed Warbler	23728	Australian Reed Warbler	Rousserolle d'Australie	Acrocephalus australis	Passeriformes	Acrocephalidae (Reed Warblers and Allies)
Australian_Rufous_Fantail_2492MF.jpg	Australian Rufous Fantail	20338	Australian Rufous Fantail	Rhipidure roux	Rhipidura rufifrons	Passeriformes	Rhipiduridae (Fantails)
Australian_Shelduck_0277.jpg	Australian Shelduck 	424	Australian Shelduck	Tadorne d'Australie	Tadorna tadornoides	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
Bald_Eagle_0765.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Bald_Eagle_2014-003.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Bald_Eagle_21110.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Bald_Eagle_2654.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Bald_Eagle_6702.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Bald_eagle_7646.jpg	Bald Eagle 	8367	Bald Eagle	Pygargue à tête blanche	Haliaeetus leucocephalus	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Baltimore_Oriole_3190MF.jpg	Baltimore Oriole 	33770	Baltimore Oriole	Oriole de Baltimore	Icterus galbula	Passeriformes	Icteridae (Troupials and Allies)
Baltimore_Oriole_3215.jpg	Baltimore Oriole 	33770	Baltimore Oriole	Oriole de Baltimore	Icterus galbula	Passeriformes	Icteridae (Troupials and Allies)
Baltimore_Oriole_5627.jpg	Baltimore Oriole 	33770	Baltimore Oriole	Oriole de Baltimore	Icterus galbula	Passeriformes	Icteridae (Troupials and Allies)
Baltimore_Oriole_6836MF.jpg	Baltimore Oriole 	33770	Baltimore Oriole	Oriole de Baltimore	Icterus galbula	Passeriformes	Icteridae (Troupials and Allies)
Bananaquit_3649.jpg	Bananaquit  	35644	Bananaquit	Sucrier à ventre jaune	Coereba flaveola	Passeriformes	Thraupidae (Tanagers and Allies)
Bananaquit_5414.jpg	Bananaquit  	35644	Bananaquit	Sucrier à ventre jaune	Coereba flaveola	Passeriformes	Thraupidae (Tanagers and Allies)
Bananaquit_5967.jpg	Bananaquit  	35644	Bananaquit	Sucrier à ventre jaune	Coereba flaveola	Passeriformes	Thraupidae (Tanagers and Allies)
Band-backed_Wren_6998.jpg	Band-backed Wren 	27383	Band-backed Wren	Troglodyte zoné	Campylorhynchus zonatus	Passeriformes	Troglodytidae (Wrens)
Band-tailed_Guan_4613.jpg	Band-tailed Guan 	873	Band-tailed Guan	Pénélope à queue barrée	Penelope argyrotis	Galliformes	Cracidae (Guans, Chachalacas, and Curassows)
Band-tailed_Guan_4650.jpg	Band-tailed Guan 	873	Band-tailed Guan	Pénélope à queue barrée	Penelope argyrotis	Galliformes	Cracidae (Guans, Chachalacas, and Curassows)
Band-tailed_Pigeon_3216MF.jpg	Band-tailed Pigeon 	1966	Band-tailed Pigeon	Pigeon à queue barrée	Patagioenas fasciata	Columbiformes	Columbidae (Pigeons and Doves)
Band-tailed_Pigeon.jpg	Band-tailed Pigeon 	1966	Band-tailed Pigeon	Pigeon à queue barrée	Patagioenas fasciata	Columbiformes	Columbidae (Pigeons and Doves)
Bar-tailed_Godwit_3588MF.jpg	Bar-tailed Godwit 	6033	Bar-tailed Godwit	Barge rousse	Limosa lapponica	Charadriiformes	Scolopacidae (Sandpipers and Allies)
Bar-throated_Apalis_2642.jpg	Bar-throated Apalis 	23050	Bar-throated Apalis	Apalis à collier	Apalis thoracica	Passeriformes	Cisticolidae (Cisticolas and Allies)
