646328326	Striated Pardalote-646328326	Striated Pardalote	18235	Striated Pardalote	Pardalote à point jaune	Pardalotus striatus	Passeriformes	Pardalotidae (Pardalotes)
646360823	Southern Scrub-Robin-646360823	Southern Scrub-Robin	21804	Southern Scrub-Robin	Drymode à croupion brun	Drymodes brunneopygia	Passeriformes	Petroicidae (Australasian Robins)
646361591	White-browed Babbler-646361591	White-browed Babbler	18509	White-browed Babbler	Pomatostome bridé	Pomatostomus superciliosus	Passeriformes	Pomatostomidae (Pseudo-Babblers)
646366262	Redthroat-646366262	Redthroat	18255	Redthroat	Séricorne rougegorge	Pyrrholaemus brunneus	Passeriformes	Acanthizidae (Thornbills and Allies)
646366563	Redthroat-646366563	Redthroat	18255	Redthroat	Séricorne rougegorge	Pyrrholaemus brunneus	Passeriformes	Acanthizidae (Thornbills and Allies)
646367060	White-browed Babbler-646367060	White-browed Babbler	18509	White-browed Babbler	Pomatostome bridé	Pomatostomus superciliosus	Passeriformes	Pomatostomidae (Pseudo-Babblers)
646369508	Australian Hobby-646369508	Australian Hobby	12080	Australian Hobby	Petit Faucon	Falco longipennis	Falconiformes	Falconidae (Falcons and Caracaras)
646398533	Elegant Parrot-646398533	Elegant Parrot	12439	Elegant Parrot	Perruche élégante	Neophema elegans	Psittaciformes	Psittaculidae (Old World Parrots)
646398807	Elegant Parrot-646398807	Elegant Parrot	12439	Elegant Parrot	Perruche élégante	Neophema elegans	Psittaciformes	Psittaculidae (Old World Parrots)
646401411	Red-capped Robin-646401411	Red-capped Robin	21747	Red-capped Robin	Miro à front rouge	Petroica goodenovii	Passeriformes	Petroicidae (Australasian Robins)
646401663	Red-capped Robin-646401663	Red-capped Robin	21747	Red-capped Robin	Miro à front rouge	Petroica goodenovii	Passeriformes	Petroicidae (Australasian Robins)
646402033	Southern Whiteface-646402033	Southern Whiteface	18372	Southern Whiteface	Acanthize blanchâtre	Aphelocephala leucopsis	Passeriformes	Acanthizidae (Thornbills and Allies)
646402556	Southern Whiteface-646402556	Southern Whiteface	18372	Southern Whiteface	Acanthize blanchâtre	Aphelocephala leucopsis	Passeriformes	Acanthizidae (Thornbills and Allies)
646405363	Splendid Fairywren-646405363	Splendid Fairywren	17664	Splendid Fairywren	Mérion splendide	Malurus splendens	Passeriformes	Maluridae (Fairywrens)
646406656	Splendid Fairywren-646406656	Splendid Fairywren	17664	Splendid Fairywren	Mérion splendide	Malurus splendens	Passeriformes	Maluridae (Fairywrens)
646407459	Crimson Rosella-646407459	Crimson Rosella (Yellow)	12480	Crimson Rosella	Perruche de Pennant	Platycercus elegans	Psittaciformes	Psittaculidae (Old World Parrots)
646408010	White-fronted Honeyeater-646408010	White-fronted Honeyeater	17786	White-fronted Honeyeater	Méliphage à front blanc	Purnella albifrons	Passeriformes	Meliphagidae (Honeyeaters)
646413092	Yellow-plumed Honeyeater-646413092	Yellow-plumed Honeyeater	17883	Yellow-plumed Honeyeater	Méliphage orné	Ptilotula ornata	Passeriformes	Meliphagidae (Honeyeaters)
