Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
1245	257	4471	species	Long-tailed Sylph	Sylphe  queue d'azur	Aglaiocercus kingii	Apodiformes	Trochilidae (Hummingbirds)	4471	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
932	1209	17220	species	Long-tailed Tyrant	Moucherolle  longs brins	Colonia colonus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17220	Lajas Blancas	PA-EM	03-Apr-17	L5683119	S35694556		1
1342	405	5857	species	Long-toed Lapwing	Vanneau  ailes blanches	Vanellus crassirostris	Charadriiformes	Charadriidae (Plovers and Lapwings)	5857	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
712	686	8318	species	Long-winged Harrier	Busard de Buffon	Circus buffoni	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8318	Caroni Swamp	TT-SJL	11-Apr-18	L616318	S44476325		1
477	250	4404	species	Longuemare's Sunangel	Hliange de Clarisse	Heliangelus clarisse	Apodiformes	Trochilidae (Hummingbirds)	4404	Reserva Bioandina--Camino de Entrada	CO-CUN	17-Nov-19	L2694900	S61535405		1
1776	1852	33952	species	Louisiana Waterthrush	Paruline hochequeue	Parkesia motacilla	Passeriformes	Parulidae (New World Warblers)	33952	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1334	1470	23458	species	Luapula Cisticola	Cisticole du Luapula	Cisticola luapula	Passeriformes	Cisticolidae (Cisticolas and Allies)	23458	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
257	1374	19990	species	Madagascar Blue Vanga	Artamie azure	Cyanolanius madagascarinus	Passeriformes	"Vangidae (Vangas, Helmetshrikes, and Allies)"	19990	V.O.I. M.M.A (Community Reserve)	MG-A	07-Nov-24	L4943092	S201667901		1
280	162	2620	species	Madagascar Blue-Pigeon	Founingo bleu	Alectroenas madagascariensis	Columbiformes	Columbidae (Pigeons and Doves)	2620	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
223	466	6302	species	Madagascar Buttonquail	Turnix de Madagascar	Turnix nigricollis	Charadriiformes	Turnicidae (Buttonquail)	6302	Ifaty--spiny forest reserves	MG-U	13-Nov-24	L920191	S202372400		1
288	723	8554	species	Madagascar Buzzard	Buse de Madagascar	Buteo brachypterus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8554	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S202374003		1
282	1471	23550	species	Madagascar Cisticola	Cisticole malgache	Cisticola cherina	Passeriformes	Cisticolidae (Cisticolas and Allies)	23550	"Alaotra-Mangoro, MG (-18,99, 48,435)"	MG-A	07-Nov-24	L37867592	S202374001		1
278	204	3439	species	Madagascar Cuckoo	Coucou de Madagascar	Cuculus rochii	Cuculiformes	Cuculidae (Cuckoos)	3439	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
216	650	7879	species	Madagascar Cuckoo-Hawk	Baza malgache	Aviceda madagascariensis	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	7879	Ifaty--spiny forest reserves	MG-U	13-Nov-24	L920191	S202371087		1
271	1315	18650	species	Madagascar Cuckooshrike	chenilleur malgache	Ceblepyris cinereus	Passeriformes	Campephagidae (Cuckooshrikes)	18650	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
260	345	5216	species	Madagascar Forest Rail	Rle  gorge blanche	Mentocrex kioloides	Gruiformes	Sarothruridae (Flufftails)	5216	V.O.I. M.M.A (Community Reserve)	MG-A	07-Nov-24	L4943092	S201667901		1
253	160	2536	species	Madagascar Green-Pigeon	Colombar matsou	Treron australis	Columbiformes	Columbidae (Pigeons and Doves)	2536	Eulophiella	MG-A	08-Nov-24	L8033539	S201831902		1
276	645	7857	species	Madagascar Harrier-Hawk	Gymnogne de Madagascar	Polyboroides radiatus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	7857	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
236	769	9615	species	Madagascar Hoopoe	Huppe de Madagascar	Upupa marginata	Bucerotiformes	Upupidae (Hoopoes)	9615	Le Relais de la Reine/Le Jardin du Roy	MG-F	12-Nov-24	L3350363	S202373873		1
259	577	7473	species	Madagascar Ibis	Ibis hupp	Lophotibis cristata	Pelecaniformes	Threskiornithidae (Ibises and Spoonbills)	7473	V.O.I. M.M.A (Community Reserve)	MG-A	07-Nov-24	L4943092	S201667901		1
238	1455	22407	species	Madagascar Lark	Moinelette malgache	Eremopterix hova	Passeriformes	Alaudidae (Larks)	22407	"RN7, Ihorombe, MG (-22,412, 46,025)"	MG-F	11-Nov-24	L37967534	S202373972		1
290	1636	29008	species	Madagascar Magpie-Robin	Shama de Madagascar	Copsychus albospecularis	Passeriformes	Muscicapidae (Old World Flycatchers)	29008	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
304	1485	24045	species	Madagascar Martin	Hirondelle de Madagascar	Riparia cowani	Passeriformes	Hirundinidae (Swallows)	24045	Tamboho Hotel	MG-T	06-Nov-24	L10216015	S201541931		1
262	1687	31061	species	Madagascar Munia	Capucin de Madagascar	Lepidopygia nana	Passeriformes	Estrildidae (Waxbills and Allies)	31061	Eulophiella	MG-A	07-Nov-24	L8033539	S202373998		1
306	212	3698	species	Madagascar Nightjar	Engoulevent malgache	Caprimulgus madagascariensis	Caprimulgiformes	Caprimulgidae (Nightjars and Allies)	3698	"Tananarive, Analamanga, MG (-18,89, 47,525)"	MG-T	06-Nov-24	L37849928	S202374010		1
295	747	9263	species	Madagascar Owl	Hibou malgache	Asio madagascariensis	Strigiformes	Strigidae (Owls)	9263	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
254	107	1737	species	Madagascar Partridge	Caille de Madagascar	Margaroperdix madagarensis	Galliformes	"Phasianidae (Pheasants, Grouse, and Allies)"	1737	Eulophiella	MG-A	08-Nov-24	L8033539	S201731242		1
251	471	6346	species	Madagascar Pratincole	Glarole malgache	Glareola ocularis	Charadriiformes	Glareolidae (Pratincoles and Coursers)	6346	Mangoro River Crossing	MG-A	08-Nov-24	L3104928	S201831803		1
294	800	10011	species	Madagascar Pygmy Kingfisher	Martin-pcheur malgache	Corythornis madagascariensis	Coraciiformes	Alcedinidae (Kingfishers)	10011	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
296	725	8791	species	Madagascar Scops-Owl	Petit-duc malgache	Otus rutilus	Strigiformes	Strigidae (Owls)	8791	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
275	681	8244	species	Madagascar Sparrowhawk	pervier de Madagascar	Accipiter madagascariensis	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8244	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
300	219	3862	species	Madagascar Spinetail	Martinet de Grandidier	Zoonavena grandidieri	Apodiformes	Apodidae (Swifts)	3862	"RN2, Alaotra-Mangoro, MG (-18,933, 48,199)"	MG-A	06-Nov-24	L37854161	S202374004		1
264	1580	27899	species	Madagascar Starling	tourneau malgache	Hartlaubius auratus	Passeriformes	Sturnidae (Starlings)	27899	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
281	1474	23705	species	Madagascar Swamp Warbler	Rousserolle de Newton	Acrocephalus newtoni	Passeriformes	Acrocephalidae (Reed Warblers and Allies)	23705	"Alaotra-Mangoro, MG (-18,99, 48,435)"	MG-A	07-Nov-24	L37867592	S202374001		1
302	1708	31677	species	Madagascar Wagtail	Bergeronnette malgache	Motacilla flaviventris	Passeriformes	Motacillidae (Wagtails and Pipits)	31677	"Auto selected -18.89571, 47.77804"	MG-T	06-Nov-24	L37852429	S201544690		1
311	298	4794	species	Magenta-throated Woodstar	Colibri magenta	Philodice bryantae	Apodiformes	Trochilidae (Hummingbirds)	4794	Curi-Cancha Refugio de Vida Silvestre	CR-P	10-Dec-23	L1468729	S156080994		1
2030	551	7315	species	Magnificent Frigatebird	Frgate superbe	Fregata magnificens	Suliformes	Fregatidae (Frigatebirds)	7315	Seymour norte (senderos y alrededores)	EC-W	07-Jul-04	L471674	S15379667		1
1766	1875	34079	species	Magnolia Warbler	Paruline  tte cendre	Setophaga magnolia	Passeriformes	Parulidae (New World Warblers)	34079	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
42	6	236	species	Magpie Goose	Canaroie semipalme	Anseranas semipalmata	Anseriformes	Anseranatidae (Magpie Goose)	236	Serendip Sanctuary	AU-VIC	14-Nov-25	L1818531	S284346430		1
1982	1402	21037	species	Magpie Shrike	Corvinelle noir et blanc	Urolestes melanoleucus	Passeriformes	Laniidae (Shrikes)	21037	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
879	1397	20947	species	Magpie-lark	Gralline pie	Grallina cyanoleuca	Passeriformes	Monarchidae (Monarch Flycatchers)	20947	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
1335	798	9997	species	Malachite Kingfisher	Martin-pcheur hupp	Corythornis cristatus	Coraciiformes	Alcedinidae (Kingfishers)	9997	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
285	1472	23616	species	Malagasy Brush-Warbler	Nsille malgache	Nesillas typica	Passeriformes	Acrocephalidae (Reed Warblers and Allies)	23616	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S202374003		1
291	1509	24585	species	Malagasy Bulbul	Bulbul de Madagascar	Hypsipetes madagascariensis	Passeriformes	Pycnonotidae (Bulbuls)	24585	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
279	194	3130	species	Malagasy Coucal	Coucal toulou	Centropus toulou	Cuculiformes	Cuculidae (Cuckoos)	3130	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
258	904	12012	species	Malagasy Kestrel	Crcerelle malgache	Falco newtoni	Falconiformes	Falconidae (Falcons and Caracaras)	12012	V.O.I. M.M.A (Community Reserve)	MG-A	07-Nov-24	L4943092	S201667901		1
303	799	10004	species	Malagasy Kingfisher	Martin-pcheur vintsi	Corythornis vintsioides	Coraciiformes	Alcedinidae (Kingfishers)	10004	"Auto selected -18.89571, 47.77804"	MG-T	06-Nov-24	L37852429	S201544690		1
250	228	4185	species	Malagasy Palm Swift	Martinet de Madagascar	Cypsiurus gracilis	Apodiformes	Apodidae (Swifts)	4185	Ranomafana NP--Telatekely	MG-F	09-Nov-24	L3341582	S202373983		1
301	1394	20753	species	Malagasy Paradise-Flycatcher	Tchitrec malgache	Terpsiphone mutata	Passeriformes	Monarchidae (Monarch Flycatchers)	20753	"RN2, Manjakandriana, Analamanga, MG (-18,929, 47,82)"	MG-T	06-Nov-24	L37852534	S202374006		1
203	615	7715	species	Malagasy Pond-Heron	Crabier blanc	Ardeola idae	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7715	Parc de Tsarasaotra (Lac Alarobia)	MG-T	17-Nov-24	L8083407	S202747664		1
256	1661	30491	species	Malagasy Sunbird	Souimanga angaladian	Cinnyris notatus	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)	30491	V.O.I. M.M.A (Community Reserve)	MG-A	07-Nov-24	L4943092	S201667901		1
277	224	4124	species	Malagasy Swift	Martinet malgache	Apus balstoni	Apodiformes	Apodidae (Swifts)	4124	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
237	128	2004	species	Malagasy Turtle-Dove	Pigeon de Madagascar	Nesoenas picturatus	Columbiformes	Columbidae (Pigeons and Doves)	2004	Le Relais de la Reine/Le Jardin du Roy	MG-F	12-Nov-24	L3350363	S202373873		1
284	1516	25717	species	Malagasy White-eye	Zostrops malgache	Zosterops maderaspatanus	Passeriformes	"Zosteropidae (White-eyes, Yuhinas, and Allies)"	25717	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S202374003		1
1657	41	545	species	Mallard	Canard colvert	Anas platyrhynchos	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	545	Ottawa--Rideau Forest	CA-ON	09-Sep-12	L2381380	S15665764		1
95	78	814	species	Malleefowl	Lipoa ocell	Leipoa ocellata	Galliformes	Megapodiidae (Megapodes)	814	Murray-Sunset National Park--Shearers Quarters	AU-VIC	07-Nov-25	L2556520	S283231513		1
873	29	459	species	Maned Duck	Canard  crinire	Chenonetta jubata	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	459	Royal Botanic Gardens (Sydney)	AU-NSW	08-Oct-17	L915566	S39613319		1
1857	197	3241	species	Mangrove Cuckoo	Coulicou manioc	Coccyzus minor	Cuculiformes	Cuculidae (Cuckoos)	3241	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1724	1489	24070	species	Mangrove Swallow	Hirondelle des mangroves	Tachycineta albilinea	Passeriformes	Hirundinidae (Swallows)	24070	Crooked Tree Village	BZ-BZ	28-Nov-11	L2084266	S15367479		1
331	1331	19180	species	Mangrove Vireo	Viro des mangroves	Vireo pallens	Passeriformes	"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"	19180	Trcoles--Tour en Bote	CR-P	14-Jun-22	L1456779	S112965518		1
760	1879	34097	species	Mangrove Yellow Warbler	Paruline des mangroves	Setophaga petechia	Passeriformes	Parulidae (New World Warblers)	34097	El Cedral (Pueblo)	MX-ROO	18-Dec-17	L1973735	S41173836		1
2012	548	7303	species	Marabou Stork	Marabout d'Afrique	Leptoptilos crumenifer	Ciconiiformes	Ciconiidae (Storks)	7303	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
530	1132	16248	species	Marble-faced Bristle-Tyrant	Tyranneau marbr	Pogonotriccus ophthalmicus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16248	San Jorge de Milpe	EC-P	10-Apr-19	L1960641	S54776617		1
1569	433	6051	species	Marbled Godwit	Barge marbre	Limosa fedoa	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6051	Southern Wildlife Preserve	US-CA	13-Oct-13	L2386324	S15396496		1
1920	1657	30393	species	Marico Sunbird	Souimanga du Marico	Cinnyris mariquensis	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)	30393	Etosha NP* general (use more precise loc.)	NA-OT	04-Jun-07	L2428142	S102122621		1
549	966	13055	species	Maroon-tailed Parakeet	Conure de Souanc	Pyrrhura melanura	Psittaciformes	Psittacidae (New World and African Parrots)	13055	Milpe Bird Sanctuary (including former Milpe Gardens)	EC-P	08-Apr-19	L493675	S54718299		1
1445	445	6136	species	Marsh Sandpiper	Chevalier stagnatile	Tringa stagnatilis	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6136	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
1515	1543	27329	species	Marsh Wren	Troglodyte des marais	Cistothorus palustris	Passeriformes	Troglodytidae (Wrens)	27329	Hillman Marsh CA (general location)	CA-ON	01-May-14	L283720	S18168553		1
1895	665	8033	species	Martial Eagle	Aigle martial	Polemaetus bellicosus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8033	Lderitz (town)	NA-KA	20-Jun-07	L1488282	S102155147		1
283	1484	24027	species	Mascarene Martin	Hirondelle des Mascareignes	Phedina borbonica	Passeriformes	Hirundinidae (Swallows)	24027	"Alaotra-Mangoro, MG (-18,99, 48,435)"	MG-A	07-Nov-24	L37867592	S202374002		1
711	1931	34632	species	Masked Cardinal	Paroare masqu	Paroaria nigrogenis	Passeriformes	Thraupidae (Tanagers and Allies)	34632	Caroni Swamp	TT-SJL	11-Apr-18	L616318	S44476325		1
